	gene_id	case_transcript	control_transcript
4024	KLHDC2	ENST00000298307.9	ENST00000554589.5
4036	VLDLR	ENST00000382100.7	ENST00000382099.2
4037	TYW3	ENST00000479111.5	ENST00000370867.7
4110	LRRC32	ENST00000407242.6	ENST00000260061.9
4112	MAF	ENST00000326043.4	ENST00000393350.1
4114	PLEKHF1	ENST00000592810.1	ENST00000436066.3
4115	ERRFI1	ENST00000467067.1	ENST00000377482.9
4139	HOXD9	ENST00000613849.1	ENST00000249499.7
4164	KLF10	ENST00000395884.3	ENST00000285407.10
4194	CHPT1	ENST00000549872.5	ENST00000229266.7
4195	GOLGA8N	ENST00000569659.5	ENST00000448387.6
4240	DTX4	ENST00000532982.5	ENST00000227451.3
4318	TMEM243	ENST00000433078.5	ENST00000257637.7
4320	USP14	ENST00000383589.6	ENST00000261601.7
4324	SNX5	ENST00000377768.7	ENST00000377759.8
4336	ITSN1	ENST00000399349.5	ENST00000399352.5
4359	WWTR1	ENST00000360632.7	ENST00000465804.5
4405	SYNCRIP	ENST00000369622.7	ENST00000355238.10
4407	DAPK2	ENST00000612884.4	ENST00000558069.5
4409	FBXO31	ENST00000618298.4	ENST00000311635.11
4410	MFNG	ENST00000416983.7	ENST00000356998.7
4411	CTNNBIP1	ENST00000377256.1	ENST00000377263.5
4416	TSPAN2	ENST00000369515.6	ENST00000369516.6
4417	TLR4	ENST00000394487.4	ENST00000355622.6
4425	TBC1D4	ENST00000377636.7	ENST00000377625.6
4435	VIM-AS1	ENST00000605833.1	ENST00000437232.5
4436	GLT8D2	ENST00000548660.5	ENST00000547583.1
4441	C4orf3	ENST00000504110.1	ENST00000399075.6
4542	ACKR1	ENST00000537147.5	ENST00000368121.3
4561	NUDT16	ENST00000502852.1	ENST00000521288.1
4563	MBNL2	ENST00000345429.10	ENST00000376673.7
4584	U2SURP	ENST00000493598.6	ENST00000473835.6
4585	IGBP1	ENST00000342206.10	ENST00000356413.4
4589	JPH2	ENST00000342272.3	ENST00000372980.3
4594	CYTH3	ENST00000396741.3	ENST00000350796.7
4595	RMDN1	ENST00000430676.6	ENST00000406452.7
4600	THSD1	ENST00000349258.8	ENST00000258613.4
4601	HAS3	ENST00000569188.5	ENST00000306560.1
4610	VGLL3	ENST00000383698.3	ENST00000398399.6
4638	TAOK2	ENST00000308893.8	ENST00000279394.7
4664	RDH5	ENST00000547072.5	ENST00000257895.9
4666	MAFG	ENST00000392366.7	ENST00000357736.8
4667	PSIP1	ENST00000397519.6	ENST00000380738.8
4674	FAM213A	ENST00000372185.5	ENST00000372187.9
4696	CACNA2D1	ENST00000423588.1	ENST00000356860.7
4769	HOXA9	ENST00000396345.1	ENST00000343483.6
4776	ADH5	ENST00000626055.2	ENST00000296412.12
4816	MEST	ENST00000378576.8	ENST00000437945.5
4852	PSKH1	ENST00000570631.5	ENST00000291041.5
4890	PIK3IP1	ENST00000441972.5	ENST00000215912.9
4892	ASS1	ENST00000372393.7	ENST00000352480.9
4896	TMEM178A	ENST00000618232.1	ENST00000281961.2
4916	NMT1	ENST00000592782.5	ENST00000258960.6
4931	RHOQ	ENST00000616091.4	ENST00000238738.8
4951	GRASP	ENST00000552049.5	ENST00000293662.8
4952	VAMP3	ENST00000470357.1	ENST00000054666.10
4953	MINOS1	ENST00000617872.4	ENST00000322753.6
5007	KIAA1614	ENST00000367587.1	ENST00000367588.8
5008	LRIG3	ENST00000320743.7	ENST00000379141.8
5034	VSTM4	ENST00000298454.3	ENST00000332853.8
5047	POLR3GL	ENST00000369313.7	ENST00000369314.1
5050	ECM2	ENST00000375540.5	ENST00000344604.9
5052	ACAT1	ENST00000299355.10	ENST00000265838.8
5058	GID4	ENST00000376345.3	ENST00000268719.8
5059	FAM117A	ENST00000513602.5	ENST00000240364.6
5060	TSHZ3	ENST00000558569.1	ENST00000240587.4
5061	TRIM35	ENST00000521253.1	ENST00000305364.8
5066	EXTL3	ENST00000523149.5	ENST00000220562.8
5067	PTP4A2	ENST00000602683.5	ENST00000602725.5
5076	DCBLD2	ENST00000326857.9	ENST00000326840.10
5086	NPY1R	ENST00000509586.5	ENST00000296533.2
5091	PPL	ENST00000590782.6	ENST00000345988.6
5092	SLC7A6OS	ENST00000619380.4	ENST00000263997.10
5095	DDX19A	ENST00000417604.6	ENST00000302243.11
5107	LPCAT2	ENST00000615823.1	ENST00000262134.9
5112	BICC1	ENST00000263103.1	ENST00000373886.7
5113	PCDHGB6	ENST00000616430.1	ENST00000520790.1
5114	ADGRA2	ENST00000315215.11	ENST00000412232.2
5127	C7orf31	ENST00000409280.5	ENST00000283905.7
5137	DLST	ENST00000626051.1	ENST00000334220.8
5152	PTEN	ENST00000610634.1	ENST00000371953.7
5171	TTC38	ENST00000629918.1	ENST00000381031.7
5175	PCDHGB5	ENST00000621169.1	ENST00000617380.1
5197	ZBTB4	ENST00000311403.4	ENST00000380599.8
5232	HSD11B1	ENST00000367028.6	ENST00000367027.4
5277	BBOX1	ENST00000529202.5	ENST00000263182.7
5284	CDC42EP3	ENST00000295324.3	ENST00000611976.1
5285	SNTB1	ENST00000517992.1	ENST00000395601.7
5326	C2orf49	ENST00000410049.1	ENST00000258457.6
5337	FOXN3	ENST00000557258.5	ENST00000345097.8
5346	S100A1	ENST00000368696.3	ENST00000292169.5
5348	PLA2G12A	ENST00000502283.1	ENST00000243501.9
5354	SLC25A20	ENST00000430379.5	ENST00000319017.4
5382	SETBP1	ENST00000426838.8	ENST00000282030.5
5383	PIGV	ENST00000374145.5	ENST00000078527.8
5494	WDTC1	ENST00000319394.7	ENST00000361771.7
5499	FNTA	ENST00000529687.5	ENST00000302279.7
5573	C2orf68	ENST00000409734.3	ENST00000306336.5
5577	NGFR	ENST00000504201.1	ENST00000172229.7
5578	CLIP3	ENST00000593074.5	ENST00000360535.8
5604	ZNF462	ENST00000441147.6	ENST00000277225.9
5613	BHMT2	ENST00000521567.1	ENST00000255192.7
5621	AFAP1L2	ENST00000369271.7	ENST00000304129.8
5622	SLC6A8	ENST00000430077.6	ENST00000253122.9
5630	POLR1E	ENST00000377792.3	ENST00000377798.8
5636	TSHZ1	ENST00000580243.1	ENST00000322038.5
5652	PARD6G	ENST00000470488.2	ENST00000353265.7
5653	KIT	ENST00000412167.6	ENST00000288135.5
5674	ZNF436	ENST00000374608.3	ENST00000314011.8
5731	MIR222HG	ENST00000602507.1	ENST00000602461.1
5757	RNF180	ENST00000296615.10	ENST00000389100.8
5758	LTC4S	ENST00000401985.3	ENST00000292596.14
5767	TRIM34	ENST00000514226.5	ENST00000429814.2
5775	CBX6	ENST00000216083.6	ENST00000407418.7
5776	IQSEC1	ENST00000618604.4	ENST00000273221.8
5781	ARGLU1	ENST00000375926.5	ENST00000400198.7
5856	PRKCE	ENST00000394874.1	ENST00000306156.7
5857	ACAD11	ENST00000481970.2	ENST00000264990.10
5890	EIF2B3	ENST00000372183.7	ENST00000360403.6
